datetime,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm,timestamp,diff,date,label_dt,label_hr,hour,turn,day,year,month,week,year_week,month_week,nroday,nrohour
2022-12-11 18:00:00,5.03,5.0,30.0,0.26,0.54,0.45,22.06,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670781600,1.0,2022-12-11,2022-12-11 18:00,18:00,18,day,Sunday,2022,12,49,2022,12,4,11
2022-12-11 18:00:00,0.05,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670781600,1.0,2022-12-11,2022-12-11 18:00,18:00,18,day,Sunday,2022,12,49,2022,12,4,11
2022-12-11 19:00:00,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670785200,1.0,2022-12-11,2022-12-11 19:00,19:00,19,night,Sunday,2022,12,49,2022,12,4,12
2022-12-11 19:00:00,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670785200,1.0,2022-12-11,2022-12-11 19:00,19:00,19,night,Sunday,2022,12,49,2022,12,4,12
2022-12-11 20:00:00,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670788800,1.0,2022-12-11,2022-12-11 20:00,20:00,20,night,Sunday,2022,12,49,2022,12,4,13
2022-12-11 20:00:00,0.01,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670788800,1.0,2022-12-11,2022-12-11 20:00,20:00,20,night,Sunday,2022,12,49,2022,12,4,13
2022-12-11 21:00:00,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670792400,1.0,2022-12-11,2022-12-11 21:00,21:00,21,night,Sunday,2022,12,49,2022,12,4,14
2022-12-11 21:00:00,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670792400,1.0,2022-12-11,2022-12-11 21:00,21:00,21,night,Sunday,2022,12,49,2022,12,4,14
2022-12-11 22:00:00,0.01,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670796000,1.0,2022-12-11,2022-12-11 22:00,22:00,22,night,Sunday,2022,12,49,2022,12,4,15
2022-12-11 23:00:00,0.01,0.0,0.0,0.0,0.32,0.98,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670799600,1.0,2022-12-11,2022-12-11 23:00,23:00,23,night,Sunday,2022,12,49,2022,12,4,16
